Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 12,[0.014188183669000863],[0.34883333333333333],[0.002587707246094942],[0.8965],[3179.570980375],68.02396335601173,26091520000,2024-07-13 23:32:22
client 1,[0.008156106410672267],[0.6264666666666666],[0.0011573304826393723],[0.9535],[2842.038798768],64.53377181900564,26091520000,2024-07-14 00:57:12
client 3,[0.006224016592030724],[0.7178166666666667],[0.0007910355614498258],[0.9687],[2588.345430301],59.5452099010034,26091520000,2024-07-14 02:13:36
client 14,[0.005942738109454513],[0.7340333333333333],[0.000920843105390668],[0.9589],[2554.844445235],59.72890858300023,26091520000,2024-07-14 03:29:02
client 11,[0.005785603401996195],[0.7392666666666666],[0.0008127035296638496],[0.9664],[2504.9948264560003],58.824826576004234,26091520000,2024-07-14 04:45:08
client 8,[0.0062918607958282035],[0.71355],[0.0008336138195008971],[0.9621],[2562.574449304],59.30050987499565,26091520000,2024-07-14 06:00:56
client 10,[0.004874325576983392],[0.7805],[0.0007267377507814671],[0.9676],[2521.692231091],58.57137657900094,26091520000,2024-07-14 07:16:06
client 6,[0.004798905432162185],[0.7860833333333334],[0.0005375644747749902],[0.9765],[4746.191350393],92.75820394000408,26091520000,2024-07-14 09:48:48
client 7,[0.004381377867733439],[0.8063833333333333],[0.0006866239564376883],[0.9707],[3378.499462827],71.50790132300843,26091520000,2024-07-14 11:35:46
client 4,[0.004738573048512141],[0.7889833333333334],[0.0006740797186212149],[0.9702],[3291.339709247],72.73926807700619,26091520000,2024-07-14 13:20:07
