Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 8,[0.011519901764889559],[0.46576666666666666],[0.001775331840850413],[0.9308],[2733.038630213],61.547378495002675,26091520000,2024-07-13 00:41:23
client 14,[0.009127765963350734],[0.5856833333333333],[0.0009938545083859936],[0.9578],[2668.0965846950003],60.39098326399384,26091520000,2024-07-13 01:56:47
client 6,[0.006830475020160278],[0.6846333333333333],[0.000714140016271267],[0.9683],[2581.874069482],60.05155411800612,26091520000,2024-07-13 03:13:28
client 3,[0.005605962199841936],[0.75205],[0.0007767530282842927],[0.9668],[2630.729146966],59.71102117300988,26091520000,2024-07-13 04:28:51
client 4,[0.005770235371713837],[0.7423],[0.0006940839644405059],[0.9709],[2609.462109781],59.40470961799322,26091520000,2024-07-13 05:44:19
client 1,[0.00440706974218289],[0.80845],[0.0005846023635705933],[0.9739],[2553.5929291469997],58.501135966992635,26091520000,2024-07-13 06:59:58
client 10,[0.005232923446657757],[0.764],[0.0007467396055348218],[0.9691],[2700.531793036],60.270640868998356,26091520000,2024-07-13 08:20:14
client 12,[0.004524949422727028],[0.7996833333333333],[0.0006554284927435219],[0.9722],[3390.851829909],72.23821375599678,26091520000,2024-07-13 10:06:17
client 11,[0.004381216670945287],[0.8077833333333333],[0.0005726309211051558],[0.9749],[3881.769526814],79.92152712899444,26091520000,2024-07-13 12:11:19
client 7,[0.004575480387173593],[0.79475],[0.0006279823110438884],[0.9725],[3719.1877598720002],78.72203139499939,26091520000,2024-07-13 14:09:51
