Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Latency (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
2,1,10.1.3.2,10.1.3.11,1024,671,0.598392,0.276678,34.472656,1.300650,12.789621
8,3,10.1.3.8,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.069072,11.728268
4,4,10.1.3.4,10.1.3.11,1024,679,0.605526,0.408029,33.691406,1.319887,12.800342
9,6,10.1.3.9,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.135298,12.561798
7,7,10.1.3.7,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.151588,11.751214
3,8,10.1.3.3,10.1.3.11,1024,668,0.595717,0.440151,34.765625,1.414299,12.776677
10,10,10.1.3.10,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.255575,12.236692
5,11,10.1.3.5,10.1.3.11,1024,378,0.337097,0.242093,63.085938,0.667717,12.777162
1,12,10.1.3.1,10.1.3.11,1024,631,0.562720,0.412287,38.378906,1.451672,12.789712
6,15,10.1.3.6,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.428066,11.769748
