Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Latency (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
2,1,10.1.3.2,10.1.3.11,1024,562,0.501187,0.330030,45.117188,1.441952,12.794934
8,3,10.1.3.8,10.1.3.11,1024,414,0.369202,0.358016,59.570312,1.231246,12.783887
4,5,10.1.3.4,10.1.3.11,1024,552,0.492269,0.395850,46.093750,1.085053,12.783523
9,7,10.1.3.9,10.1.3.11,1024,567,0.505646,0.625079,44.628906,1.820679,12.789254
7,8,10.1.3.7,10.1.3.11,1024,474,0.422709,0.376781,53.710938,1.016222,12.781266
3,9,10.1.3.3,10.1.3.11,1024,509,0.453922,0.506367,50.292969,1.486630,12.793942
10,13,10.1.3.10,10.1.3.11,1024,300,0.267537,0.382907,70.703125,1.108691,12.771094
5,14,10.1.3.5,10.1.3.11,1024,3,0.002675,0.189827,99.707031,0.190266,12.753728
1,15,10.1.3.1,10.1.3.11,1024,622,0.554694,0.456466,39.257812,1.489128,12.804970
6,16,10.1.3.6,10.1.3.11,1024,3,0.002675,0.315892,99.707031,0.316868,12.756051
