Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Latency (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
2,1,10.1.3.2,10.1.3.11,1024,730,0.651008,0.289882,28.710938,1.298150,12.812816
8,3,10.1.3.8,10.1.3.11,1024,464,0.413791,0.362689,54.687500,1.084233,12.792426
4,5,10.1.3.4,10.1.3.11,1024,323,0.288049,0.297983,68.457031,1.152919,12.787784
9,7,10.1.3.9,10.1.3.11,1024,471,0.420034,0.552418,54.003906,1.484410,12.798011
7,9,10.1.3.7,10.1.3.11,1024,449,0.400414,0.426190,56.152344,1.087154,12.792515
3,10,10.1.3.3,10.1.3.11,1024,386,0.344231,0.485390,62.304688,1.483729,12.794208
10,13,10.1.3.10,10.1.3.11,1024,314,0.280023,0.491505,69.335938,1.205739,12.785047
5,14,10.1.3.5,10.1.3.11,1024,152,0.135552,0.228790,85.156250,0.652061,12.771339
1,15,10.1.3.1,10.1.3.11,1024,620,0.552911,0.437824,39.453125,1.466996,12.813683
6,18,10.1.3.6,10.1.3.11,1024,3,0.002675,0.320823,99.707031,0.327151,12.764251
