Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Latency (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
2,1,10.1.3.2,10.1.3.11,1024,850,0.758023,0.200320,16.992188,1.321763,12.812320
8,3,10.1.3.8,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.069072,11.623517
4,4,10.1.3.4,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.083037,11.920858
9,5,10.1.3.9,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.135298,11.623517
7,6,10.1.3.7,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.151588,11.623517
3,7,10.1.3.3,10.1.3.11,1024,821,0.732161,0.391569,19.824219,1.520403,12.842014
10,9,10.1.3.10,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.255575,11.623517
5,10,10.1.3.5,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.257998,11.769582
1,11,10.1.3.1,10.1.3.11,1024,921,0.821340,0.303875,10.058594,1.459097,12.819583
6,13,10.1.3.6,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.428066,11.623517
