Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Latency (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
2,1,10.1.3.2,10.1.3.11,1024,965,0.860579,0.211747,5.761719,1.217453,12.785260
8,3,10.1.3.8,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.069072,11.623517
4,4,10.1.3.4,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.083037,12.108343
9,5,10.1.3.9,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.135298,11.623517
7,6,10.1.3.7,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.151588,11.623517
3,7,10.1.3.3,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.165676,12.414717
10,8,10.1.3.10,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.255575,11.623517
5,9,10.1.3.5,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.257998,11.623517
1,10,10.1.3.1,10.1.3.11,1024,981,0.874847,0.257019,4.199219,1.465381,12.778002
6,12,10.1.3.6,10.1.3.11,1024,0,0.000000,inf,100.000000,-2.428066,11.623517
