Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Latency (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
2,1,10.1.3.2,10.1.3.11,1024,701,0.625146,0.359087,31.542969,1.402458,12.810372
8,3,10.1.3.8,10.1.3.11,1024,352,0.313911,0.339160,65.625000,1.084024,12.788355
4,5,10.1.3.4,10.1.3.11,1024,372,0.331746,0.326999,63.671875,1.229129,12.791960
9,7,10.1.3.9,10.1.3.11,1024,470,0.419142,0.578766,54.101562,1.523416,12.797288
7,9,10.1.3.7,10.1.3.11,1024,317,0.282698,0.448392,69.042969,1.084861,12.783166
3,10,10.1.3.3,10.1.3.11,1024,479,0.427168,0.483058,53.222656,1.484381,12.798084
10,13,10.1.3.10,10.1.3.11,1024,437,0.389713,0.493516,57.324219,1.205239,12.788255
5,14,10.1.3.5,10.1.3.11,1024,252,0.224731,0.239563,75.390625,0.667382,12.777407
1,15,10.1.3.1,10.1.3.11,1024,639,0.569855,0.415099,37.597656,1.466956,12.812487
6,19,10.1.3.6,10.1.3.11,1024,6,0.005351,0.119391,99.414062,0.237413,12.763341
